latitude,longitude,elevation
52.532155,-117.644772,1395.4
52.532152,-117.644774,1395.4
52.532148,-117.644775,1395.4
52.532145,-117.644777,1395.4
52.532142,-117.644778,1395.4
52.532125,-117.644769,1395.4
52.532114,-117.644767,1395.4
52.532097,-117.64476,1395.3
52.532088,-117.644753,1395.3
52.53208,-117.644747,1395.3
52.532078,-117.64475,1395.3
52.532085,-117.644761,1395.3
52.532081,-117.64477,1395.3
52.532077,-117.644768,1395.3
52.532084,-117.644755,1395.3
52.53209,-117.644749,1395.3
52.53209,-117.644748,1395.3
52.53209,-117.644748,1395.3
52.53209,-117.644748,1395.3
52.532095,-117.644738,1395.3
52.532085,-117.644759,1395.3
52.532074,-117.644766,1395.3
52.532069,-117.644772,1395.3
52.532072,-117.644762,1395.3
52.532072,-117.644762,1395.3
52.532072,-117.644762,1395.3
52.532072,-117.644762,1395.3
52.532072,-117.644762,1395.3
52.532093,-117.644742,1395.3
52.532087,-117.644744,1395.3
52.532098,-117.644761,1395.3
52.532097,-117.64479,1395.2
52.532102,-117.644805,1395.2
52.532104,-117.644805,1395.2
52.532099,-117.644828,1395.2
52.532093,-117.644846,1395.2
52.53209,-117.644884,1395.2
52.53209,-117.644898,1395.2
52.532083,-117.644905,1395.2
52.53207,-117.644914,1395.2
52.532061,-117.644914,1395.2
52.532052,-117.644915,1395.2
52.532045,-117.644918,1395.2
52.532042,-117.644941,1395.2
52.532042,-117.644958,1395.2
52.532041,-117.64497,1395.2
52.532041,-117.644986,1395.2
52.532037,-117.644999,1395.2
52.532026,-117.645007,1395.2
52.532015,-117.645025,1395.1
52.532011,-117.645034,1395.9
52.532007,-117.645044,1396.0
52.532003,-117.645054,1396.1
52.532003,-117.645051,1396.1
52.532003,-117.645051,1396.1
52.531999,-117.645059,1396.1
52.532,-117.645058,1396.1
52.532,-117.645058,1396.1
52.532003,-117.645032,1396.3
52.532008,-117.645035,1396.3
52.53201,-117.644996,1396.5
52.532026,-117.644987,1396.7
52.532027,-117.644986,1396.7
52.532028,-117.644984,1396.7
52.532029,-117.644982,1396.7
52.532031,-117.64498,1396.7
52.532032,-117.644978,1396.7
52.532033,-117.644976,1396.7
52.532034,-117.644975,1396.8
52.532036,-117.644973,1396.8
52.532037,-117.644971,1396.8
52.532038,-117.644969,1396.8
52.532039,-117.644967,1396.8
52.532041,-117.644965,1396.8
52.532042,-117.644964,1396.8
52.532043,-117.644962,1396.9
52.532044,-117.64496,1396.9
52.532046,-117.644958,1396.9
52.532047,-117.644956,1396.9
52.532048,-117.644954,1396.9
52.532049,-117.644953,1396.9
52.53205,-117.644951,1396.9
52.532064,-117.644965,1397.1
52.532073,-117.64497,1397.2
52.532083,-117.644976,1397.3
52.532082,-117.64499,1397.3
52.532085,-117.645006,1397.4
52.5321,-117.645015,1397.5
52.532111,-117.64504,1397.7
52.532113,-117.64505,1397.8
52.532116,-117.64506,1397.8
52.532118,-117.64507,1397.8
52.53212,-117.645087,1397.8
52.53211,-117.645095,1397.8
52.532105,-117.645113,1397.9
52.5321,-117.645124,1397.9
52.532104,-117.645126,1397.9
52.532101,-117.645153,1397.9
52.532108,-117.645161,1397.9
52.532121,-117.645178,1397.9
52.532128,-117.64518,1397.9
52.532135,-117.645181,1397.9
52.532142,-117.645183,1397.9
52.532147,-117.64519,1397.9
52.53215,-117.645192,1397.9
52.532152,-117.645194,1397.9
52.532154,-117.645197,1397.9
